code,open,close,low,high,open_std,close_std,total_volume,total_turnover,volume_std,turnover_std
600563,508100,492100,488000,508100,0.0013411737294802854,0.0013073980254975615,3578859,176683627,13382.84945535191,660042.7575062395
600565,39900,40500,39900,40700,0.0018506832933013583,0.0017799282462299618,33364911,134778986,144145.50375248326,582103.5340349586
600566,382000,383200,380900,384799,0.0008465254411743388,0.0008956841956020269,3856437,147467143,14395.167019332823,550736.5146424199
600567,43500,44800,43200,44900,0.0015910836881921349,0.001675087532132251,74325845,329398332,238607.10572675915,1059789.7870051435
600568,76000,75800,75400,77700,0.0024804727950355895,0.0022883820863461974,23032267,175423757,128698.7869443649,979554.6325621452
600569,47100,49700,46700,49800,0.002085203235017878,0.002105980075931895,96377010,468687755,358674.1557170052,1760535.1825879787
600570,464600,475800,462000,478300,0.0010804313153500395,0.001059885731794978,11264265,531654155,41212.98766983415,1944125.0397407978
600571,107300,107500,105900,107600,0.0010587422037156788,0.001053548964069761,3780400,40426854,18270.48965380182,195579.3400142281
600572,70400,71800,70300,72200,0.0013216834250350095,0.001351606700677659,12445829,88727058,76828.17840424311,549914.798902782
600573,91300,90600,89000,91300,0.0012446327366344636,0.0015902692455001194,1393162,12579292,11706.586694038311,105607.2381200756
600576,75600,75900,74800,76400,0.001148200506605384,0.0011427956353314114,3531640,26741761,18603.06646713047,140580.22560936774
600577,37600,38000,37600,38100,0.0017523475902096336,0.001769140221657932,5283506,20027315,31374.691957225794,118878.68178822762
600578,37100,37400,37100,37400,0.0018969926045468459,0.0019207316405203594,3610521,13458849,18707.82484383765,69837.48571590995
600579,161200,140200,137500,161200,0.005603288451770502,0.0061036865932896445,14494412,211221954,138035.1246841012,2204129.8023592266
600580,80100,81900,80100,82000,0.0011485781843246121,0.001052561815195115,11122777,90116617,31677.56012689879,257949.97691785058
600581,137100,145200,134600,146800,0.0021698877092336225,0.002242989900528916,59117554,839386333,158543.79963717936,2266925.9491953924
600582,46400,47500,46300,47800,0.0017183251825458581,0.001664636846326318,19319567,91244508,97222.6500889865,460072.11110425094
600583,61800,63000,61600,63200,0.0013224682039664093,0.0013075315513213605,30248949,189501049,141491.6189246599,887963.7656180303
600584,214600,219899,212000,221000,0.00155810724266233,0.0015605643169360483,32192180,697461930,114927.5337358819,2500573.334307099
600585,298000,319600,295300,320900,0.0018614956192041384,0.001847104388831364,106410967,3276171129,353441.0248775913,10836935.143529886
600586,45700,46000,45300,46300,0.001488613797884447,0.0014338028948329626,10169913,46648322,83075.10286359514,382053.52818031824
600587,168000,168900,167500,169500,0.0011346162856740668,0.0010400521061304496,1445200,24345102,6900.1005793813465,116433.43097965076
600588,213100,213900,211600,216300,0.001656815780207792,0.0014056166508569013,6130901,131273561,26792.420315178148,574112.2483362892
600589,60700,61200,60599,61300,0.0009162753281606765,0.0009035209903317051,2324610,14160738,15165.834043788156,92323.51747359544
600590,106500,109000,106500,109100,0.0009625584722041259,0.0008605613481186816,2931662,31736231,12877.927359936319,139598.01503549167
600592,97800,99500,97600,100200,0.0014379007665661966,0.0015067051322410494,8100692,80448219,48413.76289939031,480819.81786732894
600593,277000,275500,273900,277200,0.0008784899084342607,0.0007976594407409483,1127501,31018712,6425.9707657605595,176708.05189601835
600594,102200,102600,101600,102600,0.0009579091088149013,0.0008899593750286906,9675087,98906602,31654.175502160855,323723.6333500468
600595,53900,54200,52600,54500,0.001994753313105328,0.0019415892152559872,58271084,311053617,275796.28483947157,1475803.8032212576
600596,92500,98000,91700,98300,0.0017282807973678504,0.001755668876383512,25581680,244531505,98083.85406566047,951188.4168797816
600597,151900,152300,149800,153000,0.0011317282349456283,0.0011070090734550818,9033622,136786491,32429.334732433454,490690.8930614935
600598,107899,107700,106000,107899,0.0010993596593707993,0.001028627630353406,17144950,183563372,87108.66378144627,931258.6287234889
600599,212000,210900,210000,212000,0.0011031877548202233,0.0009799009741548515,569811,12015689,4700.42680433802,99038.62947701859
600600,395000,396500,389400,399000,0.0014423513718605156,0.0014338522018261034,6256685,247146442,23516.064479636956,925974.4454798995
600601,36400,36800,36300,36800,0.0018393723305042597,0.0018481851744188472,5098205,18663011,29177.377052661952,106805.00329322829
600602,68500,71600,68400,72500,0.001892573569745312,0.0017215232074508481,8037161,56863207,64015.26806380113,457929.1103312899
600603,67600,68500,67600,69000,0.0014176535796254373,0.0012658686311190837,2224593,15209328,12673.96108398714,86589.91016125314
600604,72000,73100,72000,74300,0.0017299110154410779,0.001692437029556194,18026621,131940985,114692.38358630965,844591.8828487629
600605,136000,135900,134800,136100,0.0010128262697189014,0.0011413872029221988,445100,6023984,3188.696798593624,43138.19001935714
